,A1,A2,A3,B1,B2,B3,C1,C2,C3
id2791,0.4,0,0.12,0,0,0.23,0.11,0.11,0.49
id2792,0.02,0,0,0,0,0.02,0,0,0
id2793,0.09,0.51,0.24,0.23,0.44,0.26,0.33,0.34,0.25
id2794,0.18,0.11,0.36,0.14,0.03,0.06,0,0.03,0.09
id2795,0,0,0,0,0,0,0.12,0.06,0.03
id2796,0,0.08,0,0.03,0.04,0.12,0.08,0,0.17
id2797,0.06,0.1,0.18,0.05,0.04,0.03,0,0.07,0.04
id2798,0.42,0.43,0.49,0.09,0.04,0.12,0.24,0.11,0.09
id2799,0,0,0,0,0,0,0.18,0,0
id2800,5.6,5.01,4.23,4.15,4,4.95,4.63,5.7,4.19
id2801,0.07,0.11,0.04,0.03,0.12,0,0,0,0.04
id2802,0.11,0.03,0,0,0,0,0,0.03,0.03
id2803,0,0,0.05,0,0.09,0,0.09,0.04,0.05
id2804,0,0.24,0.25,0,0.5,0,0,0.47,0.27
id2805,6.22,5.65,5.35,11.06,10.15,9.91,12.84,11.21,10.83
id2806,1.68,2.7,1.52,1.04,0.6,0.53,1.18,0.7,0.97
id2807,0.28,0.14,0.24,1.27,1.65,1.15,1.31,1.83,2.34
id2808,0,0,0.06,0,0,0,0,0,0
id2809,0,0.11,0,0.09,0.22,0.54,0.44,0.31,0.23
id2810,0.94,1.28,1.49,3.91,3.79,3.87,3.24,3.53,3.93
id2811,38.71,41.23,40.05,32.63,31.32,29.47,29.9,28.37,28.28
id2812,0,0,0,0,0,0,0,0.02,0
id2813,2.93,3.27,3.27,6.6,7.36,6.55,8.84,9.91,10.25
id2814,0,0,0,0.04,0,0,0,0,0
id2815,1.05,1.16,0.95,0.24,0.18,0.47,0.57,0.35,0.13
id2816,0,0,0,0.01,0.02,0.08,0.02,0.02,0.04
id2817,14.25,15.61,8.18,5.18,5.16,4.2,2.8,2.79,3.13
id2818,0.08,0.05,0.19,0,0.24,0,0,0.27,0.05
id2819,5.01,4.42,9.1,2.31,2.21,2.71,2.47,2.2,1.91
id2820,0,0,0,0.04,0,0,0,0,0
id2821,0,0,0,0,0,0.02,0,0,0
id2822,6.38,7.01,6.24,5.25,4.96,6,6.76,5.79,5.33
id2823,0,0.01,0.01,0.02,0,0.02,0.01,0,0
id2824,0.05,0.04,0,0.03,0,0,0,0,0
id2825,201.04,208.84,207.46,411.31,401.55,393.74,441.56,413.83,429.03
id2826,0,0.07,0,0,0,0,0,0,0
id2827,0,0.05,0,0,0,0,0.16,0,0
id2828,0.35,0,0.08,0.1,0.08,0.2,0.25,0.07,0.19
id2829,0.56,0.34,0.62,0.61,1.09,0.72,0.38,0.57,0.62
id2830,0.08,1.07,0.73,0,0.24,0,0,0.05,0
id2831,0.18,0.21,0.17,0.4,0.37,4.61,7.86,1.2,0.36
id2832,3.08,1.82,2.84,0.17,0.83,0.42,0.6,1.13,1.02
id2833,0,0,0.04,0,0,0,0,0,0
id2834,0.11,0,0.12,0,0,0,0,0,0
id2835,0.76,0.7,0.57,0.5,0.57,0.52,0.87,1.06,4.04
id2836,0,0,0,0.05,0,0,0.03,0.03,0.03
id2837,4.09,4.99,5.98,0.42,0.41,0.16,0.25,0.35,0.44
id2838,9.5,10.01,10.86,17.4,17.51,18.3,22.4,22.22,22.75
id2839,0.06,0.02,0,0.02,0,0,0,0,0.05
id2840,0.21,0.12,0.11,0.4,0.32,0.55,0.1,0.11,0.35
id2841,1.62,1.47,1.14,0.79,0.8,1.06,1.64,2.17,2.47
id2842,0.94,0.57,0.46,0.31,0.5,0.78,1.18,1.44,0.87
id2843,0.02,0.05,0.03,0,0,0,0,0.02,0.03
id2844,0,0,0,0,0.03,0,0.03,0.02,0.05
id2845,0.05,0.06,0.03,0,0,0,0,0.05,0
id2846,0.14,0,0.32,0,0.16,0.08,0.16,0.15,0.33
id2847,0,0.01,0.02,0.02,0.01,0.01,0,0.02,0.03
id2848,111.45,99.89,78.6,52.79,90.48,80.61,62.54,73.32,56.23
id2849,0,0.05,0.03,0.02,0.03,0.03,0.05,0,0.11
id2850,2.01,0.83,1.14,1.83,1.41,1.08,1.37,0.8,0.62
id2851,47.58,54.28,56.29,26.03,23.39,25.37,40.89,35.29,33.59
id2852,1.02,1.45,1.19,4.05,3.19,3.39,2.02,24.68,2.41
