,A1,A2,A3,B1,B2,B3,C1,C2,C3
id85,0.52,0.88,0.31,0.42,0.12,0.42,0.42,0.45,0.26
id86,2.52,0.57,1.91,1.27,1.31,1.28,2.39,1.91,1.68
id87,4.9,3.76,4.44,15.17,14.32,15.54,13.53,12.11,13.21
id88,0.36,0.59,0.62,0.97,1.39,1.77,0.77,1.26,0.72
id89,1.11,0.86,0.62,1.45,0.64,0.92,1.37,1.17,1.36
id90,0.05,0,0,0,0,0,0,0,0
id91,137.16,121.75,136.62,107.58,112.59,117.06,117.12,133.91,124.29
id92,0,0,0,0.23,0.08,0,0,0,0
id93,1.6,3.29,6.21,3.19,3.19,1.59,2.63,2.29,2.22
id94,10.82,8.06,8.9,3.96,5.01,5.68,2.21,2.23,2.07
id95,5.26,4.68,4.47,4.74,5.91,5.48,4,4.69,3.54
id96,0.44,0.64,0.83,0.33,0.56,0.39,0.37,0.37,0.54
id97,0,0,0,0.4,0,0.06,0.06,0.21,0.3
id98,0.78,0.38,9.47,0.82,15.4,1.35,0.43,8.73,17.88
id99,3.28,2.51,2.63,1.21,1.88,0.73,1.11,1.53,1.27
id100,0.36,1.09,0.42,0.6,0.6,0.88,0.77,0.83,1.77
id101,0.49,0.62,0.49,0.3,0.31,0.46,0.77,0.63,0.52
id102,59.16,61.86,58.2,69.93,67.66,74.15,93.59,85.49,77.54
id103,4.37,4.78,4.31,2.44,1.92,2.16,2.93,2.96,2.43
id104,16.18,15.28,15.9,46.58,49.97,48.6,49.45,55.27,47.7
id105,0.4,0.65,1.08,0.08,0.18,0.21,0.28,0.37,0.15
id106,14.61,14.24,15.16,1.76,1.97,1.73,2.66,1.63,2.18
id107,0,0.02,0,0.03,0,0,0,0.08,0
id108,23.01,7.91,8.18,69.65,29.2,78.95,70.33,30.87,52.88
id109,0.73,0.86,1.54,1.26,0.7,0.87,0.69,0.6,0.58
id110,3.83,4.59,3.66,4.84,4.57,4.75,5.73,5.79,6.72
id111,0,0.01,0,0,0,0.02,0,0.01,0
id112,0,0,0.08,0,0,0,0,0,0
id113,0,0,0,0,0,0,0,0,0.08
id114,0,0,0,0,0,0,0.04,0,0.08
id115,0.05,0.06,0,0.23,0.12,0.06,0.06,0.11,0.39
id116,0,0.75,0.1,0.61,0.49,0.67,0.1,0.09,0.31
id117,5.84,4.61,5.06,3.65,3.76,2.9,2.1,2.21,2.88
id118,0.06,0.07,0,3.88,2.93,3.21,2.03,2.37,1.77
id119,1.42,1.09,1.54,0.73,1.32,0.9,2.99,2.11,2.91
id120,0.19,0.7,0.82,0.77,0.32,0.27,0.4,0.59,0.53
id121,13.5,13.55,12.85,28.51,34.6,32.07,25,23.05,19.57
id122,8.08,7.07,7.04,34.07,43,40.75,24.9,27.82,27.92
id123,0.3,0.23,0.59,0.54,0,0.46,0.47,0.11,0.5
id124,4.25,3.55,4.78,4.25,4.39,4.44,6.36,6.06,6.5
id125,39.21,36.11,48.23,61.55,60.16,53.45,85.51,92.15,94.65
id126,34.52,32.31,36.92,29.74,29.9,32.61,41.55,42.31,40.02
id127,0.06,0.06,0,0.03,0.27,0.26,0.27,0.31,0.07
id128,0.03,0.06,0.13,0.1,0.09,0.21,0.03,0.12,0.07
id129,9.63,10.23,12.28,4.96,5.46,5.79,6.17,5,6.01
id130,0.58,0.55,1.01,0.08,0.1,0.33,0.13,0.19,0.11
id131,0.06,0.37,0.14,0.02,0.05,0.04,0.11,0.15,0.19
id132,24.32,39.16,37.03,20.03,19.75,25.82,22.28,20.2,25.03
id133,0.87,0.86,1.16,0.38,0.41,0.2,0.46,0.32,0.61
id134,1.62,2.47,1.95,2.85,7.73,3.31,2.99,3.78,2.85
id135,0.02,0.11,0.14,0.09,0,0,0,0.13,0
id136,0.62,0.52,0.09,0.69,0.18,0.18,0.63,0.5,0.29
id137,4.34,7.78,5.1,0.38,0.25,0.75,0.8,0.81,0.69
id138,0.37,0.46,0.16,0,0,0.05,0.21,0.2,0.34
id139,5.11,6.07,5.29,2.96,0.72,1.72,2.78,2.6,2.32
id140,2.97,2.91,2.74,8.7,8.23,7.92,11.28,11.21,12.7
id141,0.11,0,0.07,0,0.13,0,0,0.06,0.07
id142,0.29,0.09,0.26,0.22,0.1,0.16,0.26,0.4,0.38
id143,0,0,0,0,0,0,0.03,0.06,0
id144,18.69,12.02,17.9,11.2,15.09,9.66,10.56,14.29,14.42
id145,0.33,0.42,0.29,0.52,0.77,0.33,0.5,0.47,0.39
id146,0.1,0.04,0.08,0.46,0.52,0.47,0.16,0.19,0.59
id147,0,0,0,0,0.04,0.04,0.17,0.19,0.09
id148,0,0,0.06,0.05,0.29,0.4,0,0.44,0.43
id149,4.37,3.16,3.09,3.66,2.87,3.59,4.88,5.39,4.82
id150,0.1,0,0,0,0.12,0,0,0,0
id151,51.3,57.42,51.09,155.04,155.34,152.78,152.39,142.58,139.12
id152,1.2,1.15,1.02,1.34,1,1.59,2.51,1.74,1.57
id153,4.27,5,3.78,130.64,113.54,119.26,40.55,36.86,47.71
id154,73.24,73.45,69.36,73.35,72.12,63.35,52.15,45.24,47.81
id155,7.81,7.93,5.91,5.99,5.42,5.1,8.3,8.16,4.85
id156,2.12,2.14,2.12,4.29,2.91,4.4,4.63,3.55,5.31
id157,0,0,0.24,0,0.96,0.7,0,0,0.76
id158,0.05,0.11,0.23,0.26,0.62,0.16,0.28,0.05,0.18
id159,21.17,20.6,22.98,5.87,6.98,6.34,8.62,8.61,9.33
id160,54.02,66.36,56.45,178.56,189.22,174.14,156.53,124.55,140.52
id161,17.35,10.83,9.91,1.16,1.06,1.66,3.69,7.71,3.87
id162,0.26,0,0,0,0,0,0,0,0
id163,4.4,2.74,1.77,0.56,0,0.06,0.06,0.06,0.39
id164,0,0,0,0,0,0.04,0,0,0
id165,0.16,0.14,0.15,0.31,0.33,0.07,0.14,0.13,0.42
id166,7.61,7.69,6.6,7.17,7.47,8.14,5.84,7.13,6.68
id167,15.31,20.28,23.12,36.93,33.81,42.19,27.5,31.55,25.94
id168,1.83,0.62,1.1,2.4,2.78,2.68,4.35,7.31,8.51
id169,12.86,13.7,13.15,5.29,4.63,4.85,7.79,7.95,7.13
id170,0.09,0.58,0.46,0.19,0.2,0.44,0.35,0.23,0.64
id171,0,0,0,0,0,0,0,0.04,0
id172,0,0,0,0.07,0.03,0,0,0,0
id173,0,0,0,0,0,0,0.05,0,0
id174,4.88,3.35,2.77,1.03,0.88,0.53,1.29,0.96,1.83
id175,0.6,0.41,0.29,3.01,3.33,3.05,1.39,1.07,1.46
id176,0.03,0.06,0.03,0.05,0.12,0.27,0.03,0.06,0.06
id177,0,0,0,0,0.03,0,0.02,0,0
id178,2.38,0.47,4.98,0.09,0.02,0.96,0.12,0.11,0.41
id179,13.05,16.76,13.85,18.65,17.98,18.25,24.4,22.73,20.21
id180,0.13,0.44,0.08,0.21,0.12,0.11,0.38,0.11,0.16
id181,0.05,0.05,0,0,0,0.05,0.07,0.03,0.02
id182,1.48,1.53,1.33,0.24,0.27,0.31,0.35,0.4,0.21
id183,0.01,0.06,0.01,0.06,0,0.04,0.29,0.14,0.22
id184,0.1,0,0,0,0.11,0.11,0.22,0.05,0.12
id185,0,0.06,0,0.1,0,0.46,0.33,1.12,0.56
id186,0.06,0.65,0.3,2.08,0.47,0.46,5.23,0.6,0.11
id187,2.59,2.72,3.25,1.69,0.88,2.19,2.94,2.75,1.53
id188,19.72,22.56,21.29,9.28,9.87,9.64,6.74,7.9,7.14
id189,37.77,38.14,33.63,38.07,34.43,36.04,38.04,37.38,41.41
id190,8.28,2.25,3.67,1.24,0.66,0.77,1.1,0.76,1.44
id191,1.12,2,3.61,1.49,0.81,1.99,1.81,1.94,1.85
id192,0.54,0.04,0.44,0.03,0.07,0.07,0.66,0.45,0.16
id193,22.87,29.34,30.15,18.2,24.63,17.99,13.97,11.03,12.96
id194,0.03,0,0,0.05,0.03,0.16,0.16,0.12,0.21
id195,0.04,0.04,0,0.23,0.09,0.13,0.26,0.16,0.32
id196,1.73,1.4,0.64,2.18,6.77,2.41,6.43,5.59,7.62
id197,9.1,9.58,9.3,5.26,5.9,6.55,7.82,8.52,9.52
id198,22.32,16.32,23.34,11.42,10.43,11.18,22.2,23.54,20.35
id199,4.75,4.08,3.37,6.42,7.6,6.27,8,13.38,14.93
id200,0.05,0,0,0,0.12,0.06,0.08,0.09,0.12
id201,0,0.07,0,0,0,0,0,0,0
id202,12.6,11.44,14.33,4.26,4.76,4.35,4.91,4.95,4.49
id203,0,0,0,0,0,0,0,0.25,0
id204,0,0,0,0.08,0,0,0.05,0,0.11
id205,203.25,233.62,219,181.6,167.89,174.13,200.29,179.58,193.58
id206,0.4,0.41,0.32,0.22,0.23,0.28,0.54,0.75,0.7
id207,40.24,39.23,47.74,47.2,47.85,47.74,52.7,61.05,64.79
id208,0,0.11,0.11,0.43,0.5,0.87,0.33,0.77,0.88
id209,8.07,5.37,7.5,3.51,3.71,4.55,6.92,5.83,6.55
id210,2.68,2.65,2.59,0.88,0.57,1.29,2.43,2.15,2.45
id211,10.62,49.11,10.45,2.98,2.64,3.14,1.57,2.04,1.92
id212,10.86,10.1,10.72,11.47,11.9,11.47,15.04,15.5,13.26
id213,117.31,119.93,117.16,7.59,9.48,9.71,6.05,6.03,5.07
id214,38.77,39.7,39.34,60.13,54.19,57.92,50.17,45.57,44.51
id215,0.2,0.11,0.05,0.07,0.02,0.07,0.26,0,0.02
id216,27.81,26.13,24.2,38.21,34.76,41.25,30.48,35.82,37.49
id217,0,0.02,0,0.03,0.04,0.13,0.3,0.5,0.3
id218,0.71,0.02,0.08,8.09,18.33,8.25,13.73,27.36,31.64
id219,13.4,12.58,12.69,28.14,27.76,28.65,22,18.86,22.53
id220,0.02,0,0,0,0,0,0.02,0,0
id221,0,0.1,0,0,0,0.42,0,0,0.11
id222,0.05,0.2,0.08,0.41,0.36,0.35,0.54,0.59,0.78
id223,37.3,34.5,35.65,37.19,34.06,36.32,35.18,33.19,32.47
id224,0.09,0.29,0.21,0,0.1,0,1.42,0,0.86
id225,2.88,1.78,2.21,3.64,3.45,3.81,3.2,3.73,2.58
id226,0.51,0.53,0.48,0,0.02,0.09,0.06,0.16,0.02
id227,69.27,66.86,78.27,225.66,222.53,195.07,359.59,321.34,344.63
id228,37,34.81,33.73,69.22,53.11,60.96,60.24,52.88,50.38
id229,0,0.13,0.24,0.04,0.13,0.1,0,0.1,0.25
id230,151.29,170.14,154.91,88.31,92.28,90.39,58.79,52.91,61.42
id231,7.66,9.11,8.97,4.78,4.49,6.03,6.94,5.94,4.97
id232,0.29,1.93,3.54,9.16,7.44,4.54,10.47,4.27,6.11
id233,0.06,0,0,0,0,0.04,0.07,0.03,0.2
id234,0.33,0.07,0.35,0.03,0.08,0.04,0.08,0.14,0.04
id235,0,0,0,0,0,0,0,0.12,0
id236,5.52,5.22,5.8,7.48,8.45,8.44,8.9,12.75,6.82
id237,2.13,2.97,2.39,0.84,0.38,0.78,0.97,0.82,0.75
id238,1.05,0.47,0.94,0.7,1.2,0.81,1.47,2.73,2.06
id239,23.12,24.43,22.95,19.05,17.45,17.18,25.04,22.33,23.64
id240,22.56,22.8,23.72,28.58,31.69,26.4,21.05,25.04,18.91
id241,11.55,13.48,15.77,25.34,28.06,30.41,30.38,26.61,28.83
id242,0,0,0.2,2.56,1.44,2.23,3.17,2.67,2.14
id243,31.82,37.02,39.07,36.6,33.08,30.03,26.79,24.3,28.24
id244,4.58,4.51,3.79,0.82,0.97,0.81,0.19,0.76,0.61
id245,0,0,0.01,0,0.01,0.1,0.01,0.09,0.02
id246,48.32,43.39,51.65,48.68,59.04,55.79,41.74,44.68,38.91
id247,0.52,0.5,2.87,0.44,0.38,0.37,0.57,0.51,2.42
id248,11.06,9.52,9.43,18.12,17.67,13.87,19.38,18.69,24.18
id249,79.57,74.91,80.9,49.83,52.12,53.06,61.89,61.36,57.49
id250,5,4.06,5.02,4.76,4.1,4.23,5.17,4.02,4.47
id251,1.65,1.06,1.55,1.95,1.64,1.88,2.21,1.63,2.13
id252,16.24,11.3,15.8,78.96,61.57,63.3,96.02,84.54,106.01
id253,0,0,0,0,0,0,0.02,0,0.02
id254,44.7,42.91,39.06,65.66,62.33,65.11,61.2,59.07,54.26
id255,0.33,0.3,0.25,0.98,1.16,1.48,1.06,0.93,1.06
id256,12.16,11.94,13.54,7.22,5.89,7.99,10.03,8.23,7.77
id257,0,0,0,0,0,0.05,0,0,0
id258,1.24,1.22,1.37,3.17,3.57,3.03,3.99,3.68,4.09
id259,0.11,0,0,0,0,0.06,0,0,0.07
id260,68.99,75.7,81.53,21.5,25.46,21.28,22.8,19.26,17.58
id261,20.48,17.01,17.69,6.51,6,6.83,7.01,6.48,10.15
id262,0.11,0.29,0.48,1.27,1.83,1.19,1.25,1.41,1.15
id263,0,0,0,0.03,0,0,0,0,0
id264,4.19,3.49,3.25,4.95,4.95,4.1,5.64,6.18,5.73
id265,31.28,30.56,34.83,14.38,10.74,15.47,32.86,30.14,27.62
id266,0,0,0,0,0,0,0.09,0,0
id267,1.01,0.93,1.28,1.58,0.77,0.7,1.88,1.09,1.41
id268,2.03,1.23,1.6,0.04,0,0.08,0,0.05,0.03
id269,0,0,0,0,0,0,0,0.07,0.04
id270,1.29,1.05,2.67,0.79,1.23,0.8,0.75,0.25,1.08
id271,0.41,0.57,0.17,2.19,2.79,2.51,0.84,0.94,1.01
id272,0,0,0,0,0,0,0,0,0.23
id273,0.08,0.06,0.06,0,0.03,0.09,0,0.03,0.03
id274,407.17,451.84,471.12,127.83,133.78,147.6,142.05,123.78,134.3
id275,0,0,0,0,0,0,0.06,0,0
id276,0.28,0,0,0,0.22,0,0.11,0,0
id277,0.03,0,0,0,0,0,0,0.06,0
id278,0,0,0,0,0,0,0.03,0,0
id279,174.74,188.36,207.72,74.44,86.39,84.06,43.7,51.37,56.55
id280,0.23,0.45,0.37,0.28,0.2,0.23,0.5,0.59,0.49
id281,38.62,40.88,38.09,23.81,21.48,24.5,39.47,35.68,35.47
id282,0,0,0.02,0.1,0.09,0.02,0.21,0.45,0.16
id283,3.91,3.66,1.58,23.28,16.69,17.39,12.16,14.74,11.43
id284,4.83,5.44,6.17,0.83,0.38,0.74,0.59,0.45,1.14
id285,2.56,3.22,3.94,3.12,2.54,3.1,4.53,4.23,7.77
id286,11.57,11.18,10.31,4.65,4.83,7.6,3.57,4.6,4.41
id287,17.79,13.83,18.45,42.14,45.52,41.11,42.34,34.46,38.1
id288,0,0,0.02,0.01,0.02,0,0.22,0.29,0.48
id289,0,0,0.06,0,0,0,0,0,0
id290,19.66,19.26,19.36,26.46,23.98,28.69,36.92,35.95,31.35
id291,1.68,1.87,2.89,0.15,0,0,0.15,0,0.05
id292,0.17,0.06,0.23,0,0,0.03,0.06,0.15,0.07
id293,0,0,0,0,0,0,0,0.03,0
id294,0.75,0.54,0.6,0.65,0.67,1.44,3.41,7.45,6.93
id295,0.02,0.05,0.05,0,0.08,0,0,0.05,0.03
id296,0.04,0,0,0.16,0,0.17,0.42,0.83,1.12
id297,0.39,0.72,0.38,0,0,0,0.04,0,0
id298,3.72,3.43,4.71,2.58,2.54,1.6,5.26,5.12,5.83
id299,0.93,1.19,1.16,10.77,7.11,6.79,14.9,9.78,10.14
id300,0,0.02,0,3.28,3.41,3.87,3,2.72,2.82
id301,0,0,0,0,0,0,0,0.03,0.11
id302,0,0,0,0.25,0.29,0.32,0.37,0.19,0.35
id303,0.55,1.25,0.64,9.33,10.03,9.92,7.27,5.12,7.94
id304,0,0,0,0,0,0,0,0,0.04
id305,17.73,19.85,23.21,8.19,10.16,7.42,6.87,5.74,6.19
id306,50.81,52.77,48.61,147.51,145.02,154.25,141.38,146.79,133.19
id307,6.38,10.1,7.5,2.73,2.82,2.34,4.24,3.42,3.54
id308,4.38,5.22,4.75,3.71,2.37,2.95,4.08,4.35,4.19
id309,2.26,2.66,1.94,1.88,1.72,1.89,1.85,0.95,1.62
id310,0.15,0,0,0.04,0.06,0.06,0,0.37,0.24
id311,5.18,4,3.27,3.12,2.01,3.3,4.51,3.52,4.76
id312,0.13,0.21,0.37,0.03,0.04,0,0.21,0.1,0.09
id313,14.83,15.46,16.43,18.81,19.19,19.42,20.24,25.35,22.01
id314,1.43,1.44,1.57,0.65,0.62,0.61,1.01,1.09,0.72
id315,0,0,0,0,0.64,0,1.1,0.59,0.34
id316,0,0,0,0,0.16,0.31,0,0,0.34
id317,0.08,0,0,0.08,0.1,0.38,0.48,0.45,1.03
id318,63.31,64.1,66.6,39.85,35.47,32.14,39.09,38.4,36.89
id319,0.03,0,0.04,0.06,0.04,0.04,0.2,0.75,0.56
id320,7.42,7.13,8.88,3.87,4.38,4.33,6.69,6.58,7.4
id321,20.03,19.06,14.82,88.45,81.87,77.56,87.43,85.23,89.07
id322,55.62,60.67,62.14,48.36,51.41,51.33,48.12,45.35,42.93
id323,28.59,30.36,30,25.85,21.77,23.22,29.01,26.38,23.49
id324,39.26,44.91,39.98,75.27,75.46,68.29,64.22,64.79,64.48
id325,2.09,2.84,4.13,1.87,3.17,4.55,0.84,1.37,1.23
id326,8.17,7.33,9.05,3.57,3.64,2.42,5.6,5.23,9.96
id327,32.94,25.68,32.84,4.19,5.45,5.01,5.12,6.66,6.35
id328,0.11,0.03,0.06,0.02,0.06,0.21,0.18,0.26,0.16
id329,0.98,0.72,1.26,0,0.02,0,0.14,0.2,0.18
id330,5.78,6.65,7.48,1.15,1.18,1.25,1.11,1.04,1.18
id331,2.28,4.49,4.25,1.8,2.88,2.03,4.34,2.38,3.92
id332,0.57,1.7,0.67,0.38,1.44,0.49,0.93,0.82,1.05
id333,86.08,91.06,83.38,217.63,207.08,200.96,198.37,157.85,181.91
id334,304.55,328.41,328.82,198.34,199.26,186.1,153.01,127.93,136.02
id335,0.21,0.09,0.15,2.97,2.93,2.36,8.12,5.21,6.54
id336,26.52,24.63,29.08,32.84,31.66,34.16,43.89,38.48,36.16
id337,0.34,1.97,0.36,0.33,0.44,0.12,0.31,0.62,0.29
id338,11.58,12.03,11.13,27.96,23.64,26.31,36.54,32.66,30.97
id339,2.94,2.24,2.61,1.68,2.02,1.53,3.21,3.19,4.09
id340,1.06,0.96,1.31,0.41,0.38,0.6,0.46,0.07,1.22
id341,9.5,7.95,8.76,6.75,6.53,5.64,8.17,9.39,9.55
id342,0,0,0.18,0,0.53,0.17,0.53,0.77,0.5
id343,5.47,4.52,5.36,2.6,1.91,3.55,3.66,4.61,3.56
id344,10.14,11.46,10.05,138.51,125.51,131.8,111.33,99.27,101.16
id345,11.21,13.14,11.76,15.49,16.45,18.34,18.78,17.4,15.85
id346,0.23,0.22,0.73,0.5,0.27,0.37,1.1,0.42,0.24
id347,0.59,1.1,0.6,479.08,410.86,438.49,530.31,455.05,428.95
id348,9.97,8.93,10.02,8.36,8.87,9.75,18.81,18.68,15.86
id349,0.07,0.04,0.08,0,0,0,0,0.04,0
id350,15.19,15.77,16.69,14.64,15.33,16.29,17.37,14.98,18.13
id351,21.13,21.26,20.75,22.83,24.01,23.74,32.97,30.95,30.46
id352,5.73,6.5,5.12,21.45,22.94,24.56,12.16,15.71,12.74
id353,57.11,60.53,55.73,226.31,212.9,219.9,240.05,207.55,226.33
id354,1.18,1.22,0.97,1.98,1.41,2.13,1.13,1.5,0.86
id355,5.87,6.07,6.79,2.78,2.82,1.69,7.12,6.47,8.73
id356,0.22,0.05,0.03,0.24,0.46,0.17,0.45,0.27,0.36
id357,64.61,68.28,66.99,140.38,139.3,131.56,94.16,94.77,101.47
id358,3.5,1.86,1.15,1.61,1.48,1.06,2.07,1.7,1.48
id359,2.72,0.79,0.66,2.07,3.36,2.13,1.78,2.82,3.21
id360,1.34,1.38,1.79,2.7,2.19,2.14,2.63,2.3,3.65
id361,0.75,0.17,0.96,1.28,1.75,2.22,1.91,1.05,1.85
id362,0.11,0.44,0.33,0.14,0.08,0.03,0.23,0.05,0.19
id363,0,0.18,0.67,0,0,0.06,0,0,0
id364,0.28,0,0,0.5,0.38,0.64,2.11,0.71,0.52
id365,44.97,40.01,43.39,82.77,88.45,97.69,111.54,120.47,100.16
id366,0.3,0.08,0.06,0.56,0.69,0.34,0.73,1.14,1.53
id367,15.62,13.04,17.01,2.81,2.06,2.48,8.58,6.19,7.25
id368,0,0,0,1.67,2.32,2.41,2.87,7.25,4.59
id369,4.03,3.59,4.55,1.81,2.05,1.77,2.33,2.08,1.74
id370,0.52,0.58,0.4,1.04,0.6,0.98,0.79,0.88,1.43
id371,0.12,0.13,0.09,0.38,0.14,0.18,0.27,0.29,0.1
id372,1.65,0.78,0.86,2.14,4.51,2.76,3.94,7.9,24.62
id373,1.03,0.05,0.63,0.16,0.21,0.05,0.31,0.19,0.44
id374,30.51,33.44,29.72,31.11,30.47,29.87,22.13,20.04,22.21
id375,11.8,12.68,12.21,12.38,12.46,11.92,11.66,11.84,12.08
id376,9.09,9.15,8.41,12.59,11.87,12.59,14.08,10.37,10.69
id377,26.55,27.21,25.92,54.33,52.87,51.01,47.73,52.42,50.64
id378,0,0.02,0,0.11,0,0,0.14,0.06,0.11
id379,9.35,11.86,11.77,31.36,32.94,31.98,37.01,35.76,33.41
id380,1.14,0.7,1.15,53.41,47.8,58.32,96.48,108.95,146.64
id381,13.33,14.58,13.34,25.34,26.74,28.69,26.2,23.36,24.02
id382,0.77,0.49,0.48,0.03,0.1,0.03,0.61,0.25,0.33
id383,0,0.15,0,0,0,0,0,0,0
id384,29.57,30.19,28.88,52.65,52.41,55.16,58.12,58.22,55.06
id385,19.39,18.21,19.64,16.71,17.99,16.14,17.98,25.35,28.25
id386,310.96,301.47,317.39,94.43,99.13,94.86,61.84,72.49,68.1
id387,153.14,132.87,178.1,104.94,95.75,111.89,134.94,139.56,140.17
id388,0.92,0.58,0.62,0.93,1.71,0.79,2.57,4.25,5.38
id389,7.39,7.13,7.33,3.58,1.71,2.42,2.5,2.26,2.86
id390,17.24,22.25,18.39,19.3,18.32,22.39,20.61,18.26,20.48
id391,19.08,14.65,21.28,1.61,1.46,2.51,3.49,3.59,2.21
id392,0.02,0,0,0,0,0,0,0,0
id393,12.09,15.05,11.68,14.56,11.81,17.32,14.33,15.09,11.72
id394,2.38,0,0,0,0.68,0.07,0.13,0.31,4.06
id395,0.3,0.28,0.32,0.16,0.26,0.29,0.23,0.44,0.34
id396,0.13,0.29,0.12,0.05,0.09,0.09,0.03,0.25,0.09
id397,6.46,6.11,7.55,6.96,6.64,6.9,7.24,6.33,5.87
id398,0.52,0.39,0.74,0.87,1.11,1.05,0.99,1.2,0.86
id399,4.23,4.06,4.24,2.01,2.52,1.28,2.63,3.26,2.44
id400,0.22,0,0.5,1.74,1.42,1.8,1.08,1.24,0.53
id401,0,0,0,0.09,0,0,0,0,0.04
id402,22.62,21.27,23.49,20.16,22.37,20.83,28.55,32.41,38.82
id403,8.92,8.66,7.23,2.88,2.65,2.89,2.47,2.02,2.3
id404,192.56,206.31,192.35,317.59,302.14,301.01,328.23,283.79,301.51
id405,0,0,0,0,0,0,0,0.04,0
id406,0.88,1.64,1.07,6.3,6.39,5.91,2.08,1.27,3.81
id407,0.23,0.14,0.24,0.09,0.18,0,0.15,0.5,0.69
id408,0.59,0.81,0.59,0.05,0.11,0.18,0.11,0.11,0.31
id409,10.81,9.4,9.24,20.12,20.96,20.1,27.74,28.65,24.48
id410,0,0.04,0,0.03,0.04,0.11,0.63,0.62,0.47
id411,0,0.05,0,0,0,0,0,0.09,0
id412,0.07,0.02,0.02,0.62,0.39,0.32,2.76,3.38,4.55
id413,0,0,0,0.11,0.1,0.14,1.04,0.4,0.56
id414,0,0,0,0.03,0.07,0.03,0.23,0.53,0.42
id415,0.05,0,0,0.94,0.55,0.05,0.93,2.21,2.45
id416,0,0,0,0,0.13,0,0,0,0
id417,2.98,2.58,2.28,0.54,1.09,0.72,1.77,1.72,1.18
id418,3.66,2.92,3.22,24.04,30.35,25.13,23.91,34.19,44.19
id419,15.78,15.18,18.79,4.06,4.96,5.32,5,4.37,6.78
id420,65.16,62.34,68.43,93.97,91.1,79.91,111.85,107.29,108.94
id421,2.8,1.56,1.95,4.6,4.6,2.94,1.23,2.46,2.62
id422,0.12,0,0,0,0,0.07,0.07,0.13,0.08
id423,0.79,0.61,0.95,0.04,0,0.03,0,0,0
id424,2.41,2.65,4.06,0.5,0.82,0.38,1.75,2.52,1.96
id425,0,0,0,0,0,0,0,0.06,0
id426,0,0,0,0,0,0,0,0,0.15
id427,0.17,0.14,0.2,0.3,0.2,0.58,0.49,0.27,0.26
id428,0.05,0.03,0.08,0.21,0.08,0.11,0.11,0.33,0.06
id429,2.98,2.91,3.47,27.73,33.47,22.28,16.94,16.18,19
id430,0.27,0.3,0.52,0,0.1,0,0.72,0.39,0.11
id431,0,0,0.03,0,0,0,0,0,0
id432,0.11,0.12,0.06,0.52,0.37,0.6,0.24,0.85,0.45
id433,11.61,10.4,12.27,7.45,6.84,8.61,10.36,13.23,10.19
id434,0.27,0.04,0.09,2.41,2.74,3.68,2.38,3,2.58
id435,0,0,0,0,0.04,0,0.14,0,0.04
id436,0,0,0,0,0.11,0,0.11,0.1,0.11
id437,3.65,4.14,4.49,0.43,0.4,0.31,0.79,0.45,0.76
id438,24.31,24.67,25.21,36.63,37.99,38.83,42.67,45.05,45.82
id439,1.71,2.2,2.25,1.29,1.4,1.97,1.98,2.2,2.56
id440,0.24,0.18,0.09,0,0,0,0,0,0
id441,209.27,129.28,151.01,166.18,154.32,171.42,270.76,339.94,360.55
id442,0,0.11,0,0,0,0,0,0,0
id443,7.61,9.12,8.98,16.82,16.78,17.88,18.71,18.34,16.78
id444,92.16,94.79,91.43,55.96,50.9,52.34,59.01,57.18,55.73
id445,0.18,0.98,0.41,0.31,0.31,0.1,0.41,0.47,1.95
id446,0.03,0,0,0,0,0.07,0,0,0
id447,107.59,100.41,110.22,46.74,46.91,48.69,60.29,60.76,67.69
id448,0,0,0,0,0.06,0,0,0,0
id449,0.4,0.64,0.07,2.32,1.28,0.59,1.06,0.62,0.92
id450,7.93,4.63,7.52,4.83,5.09,3.7,3.63,5.74,5.51
id451,9.9,11.44,10.38,11.45,12.3,10.97,14.48,10.4,14.57
id452,9.49,9.12,9.18,2.83,2.82,2.63,2.35,2.92,3.18
id453,3.01,2.91,2.83,5.89,4.95,5.6,6.89,7.2,6.11
id454,0.3,0.37,0.5,0.06,0.23,0.34,0.46,0.68,0.2
id455,3.6,2.87,2.58,3.01,4.04,3.45,4.68,5.94,4.18
id456,2.27,1.64,1.55,1.55,1.71,1.21,3.23,2.3,2.95
id457,18.76,18.48,17.82,25.28,22.93,21.16,29.03,25.68,22.34
id458,3.45,4.26,2.59,2.63,2.4,2.95,3.89,3.43,4.14
id459,0.73,1.4,1.4,1,1.56,0.96,1.59,1.48,1.28
id460,56.97,65.44,68.08,80.79,77.97,79.16,59.44,58.45,56.57
id461,0.23,0.26,0.36,0.07,0.27,0.96,0.18,0.08,0.19
id462,0.28,0.03,0.22,0.03,0.04,0.07,0.07,0.1,0.15
id463,0.06,0.11,0,0,0,0,0,0,0
id464,39.58,25.08,37.32,51.08,45.3,43.41,110.79,108.57,117.19
id465,0,0.01,0.02,0.06,0,0.04,0,0.21,0.1
id466,0.42,0.46,0.59,0.08,0,0,0.03,0.03,0
id467,0.46,0.23,0.2,0.1,0.1,0,0.03,0.09,0.14
id468,1.15,1.07,1.34,0.04,0,0.08,0.05,0.03,0.12
id469,1.62,1.26,1.48,1.81,0.71,0.72,1.87,2.21,2.13
id470,20.08,19.1,21.97,4.39,3.26,4.6,9.21,7.41,6.7
id471,12.01,11.6,11.55,10.2,9.82,9.99,14.92,14.95,12.34
