Index,A1,A2,A3,A4,B1,B2,B3,B4
MEDP658,655000,634000,639000,623000,639000,668000,727000,639000
MEDP659,466000,365000,423000,379000,275000,286000,309000,267000
MEDP662,816000,867000,867000,918000,862000,857000,849000,901000
MEDP668,697000,629000,643000,589000,747000,685000,562000,870000
MEDP669,21700,27600,21900,22200,20900,23400,28400,19000
MEDP671,3710000,3180000,3470000,3230000,3130000,3170000,3230000,3260000
MEDP673,16300000,16500000,15500000,14700000,14000000,13500000,12600000,14500000
MEDP674,613000,599000,583000,553000,390000,398000,414000,348000
MEDP675,565000,472000,560000,555000,440000,491000,594000,494000
MEDP676,1520000,1330000,1220000,927000,945000,894000,790000,1080000
MEDP677,265000,192000,208000,150000,184000,184000,183000,181000
MEDP681,27700000,29800000,25800000,23900000,18500000,19400000,21100000,19000000
MEDP685,2540000,3180000,3030000,3520000,5770000,5710000,5580000,5590000
MEDP686,36000000,33100000,32400000,28800000,24400000,24300000,24200000,24400000
MEDP688,19600,21300,19600,19600,32000,31200,29400,35400
MEDP692,6240000,4560000,6050000,5860000,3840000,4140000,4750000,3930000
MEDP695,164000,190000,184000,204000,179000,175000,168000,170000
MEDP697,212000,189000,193000,175000,221000,237000,270000,241000
MEDP700,1560000,1220000,1380000,1210000,1360000,1270000,1090000,1200000
MEDP707,288000,292000,294000,300000,311000,307000,297000,290000
MEDP709,551000,550000,543000,534000,540000,533000,518000,488000
MEDP710,426000,510000,460000,495000,548000,527000,485000,505000
MEDP716,120000,118000,104000,86700,83700,82900,81100,82000
MEDP719,210000,254000,217000,225000,212000,199000,174000,242000
MEDP724,229000,221000,220000,210000,213000,213000,212000,216000
MEDP726,4260000,4330000,4400000,4540000,3860000,3690000,3360000,4130000
MEDP732,4170000,4060000,4140000,4110000,3610000,3610000,3600000,3630000
MEDP736,213000,213000,181000,149000,182000,179000,173000,188000
MEDP739,22600,24300,23500,24300,25700,24400,21900,25500
MEDP747,253000,234000,235000,218000,173000,174000,175000,175000
MEDP751,315000,433000,306000,298000,384000,367000,332000,381000
MEDP752,64700000,82500000,72500000,80300000,129000000,125000000,116000000,130000000
MEDP766,77500,86500,79900,82300,99700,91200,74200,102000
MEDP772,97700,73300,98300,99000,134000,131000,125000,106000
MEDP778,427000,330000,461000,494000,343000,355000,380000,410000
MEDP779,427000,432000,457000,487000,456000,421000,351000,524000
MEDP782,2140000,2640000,1980000,1830000,1860000,1860000,1850000,1740000
MEDP783,96100,134000,145000,193000,322000,320000,315000,291000
MEDP789,670000,669000,658000,646000,602000,593000,575000,603000
MEDP792,373000,431000,400000,428000,591000,610000,648000,541000
MEDP794,373000,314000,365000,357000,557000,530000,476000,556000
MEDP796,778000,753000,738000,697000,659000,659000,658000,621000
MEDP799,8100000,7620000,7840000,7580000,7710000,7540000,7200000,7650000
MEDP800,20900000,21300000,19800000,18700000,18600000,18200000,17500000,19000000
MEDP811,43500,74000,42800,42100,39800,38300,35400,44300
MEDP812,734000,600000,640000,547000,712000,688000,639000,694000
MEDP814,425000,455000,403000,381000,471000,437000,368000,330000
MEDP817,529000,488000,460000,390000,392000,397000,408000,430000
MEDP818,290000,285000,274000,258000,237000,254000,288000,232000
MEDP820,645000,649000,666000,687000,847000,836000,815000,805000
MEDP821,8230000,8750000,9570000,10900000,18800000,18500000,17900000,17300000
MEDP831,263000,253000,251000,238000,227000,221000,208000,214000
MEDP835,83400000,93300000,82900000,82500000,72900000,73300000,74100000,73700000
MEDP836,58900000,66200000,58500000,58100000,48400000,47300000,45100000,50700000
MEDP839,198000,160000,176000,153000,142000,130000,107000,162000
MEDP844,2950000,2860000,2810000,2670000,2540000,2480000,2360000,2630000
MEDP845,1210000,1360000,1480000,1750000,3940000,4000000,4130000,4100000
MEDP849,64200,64400,74900,85600,300000,284000,251000,336000
MEDP853,45000000,53900000,47100000,49100000,67500000,66300000,63800000,67600000
MEDP856,320000,329000,324000,328000,302000,302000,302000,279000
MEDP859,5680000,5830000,6010000,6350000,4140000,4250000,4490000,3960000
MEDP860,9340000,6990000,8660000,7970000,9130000,10000000,11800000,8800000
MEDP863,6760000,6640000,6640000,6530000,6290000,6270000,6230000,6270000
MEDP865,679000,785000,712000,745000,679000,680000,683000,660000
MEDP868,431000,439000,411000,392000,534000,511000,464000,525000
MEDP871,1360000,1400000,1270000,1180000,798000,830000,894000,841000
MEDP872,3760000,2550000,2870000,1980000,2620000,2580000,2490000,2730000
MEDP877,46100,46500,35400,24800,88400,94100,105000,74900
MEDP878,65400,42500,71400,77500,87800,99100,122000,71600
MEDP879,73200,80600,72600,72000,53800,53600,53400,57000
MEDP881,47700,48100,66400,85000,55400,64900,83800,68500
MEDP882,86400,94100,87000,87600,295000,266000,207000,235000
MEDP883,22500,30300,30000,37600,58000,55800,51500,58300
MEDP888,1000000,4680000,1000000,1010000,946000,913000,846000,889000
MEDP900,2390000,2370000,2280000,2170000,1520000,1430000,1260000,1180000
MEDP904,2860000,2830000,2700000,2530000,1780000,1680000,1490000,1390000
