Index,A1,A2,A3,A4,B1,B2,B3,B4
MEDP019,67000000,80400000,74900000,82800000,121000000,118000000,111000000,124000000
MEDP020,4670000,6720000,5680000,6690000,10900000,10400000,9400000,9770000
MEDP023,651000,638000,695000,740000,1190000,1140000,1040000,1020000
MEDP025,15200000,18900000,17600000,20100000,33400000,31800000,28600000,31000000
MEDP026,50500000,61900000,57500000,64500000,77600000,77700000,77800000,71700000
MEDP028,67900,79100,72600,77200,86600,87100,88100,99800
MEDP031,1220000,1230000,1230000,1240000,1300000,1290000,1280000,1280000
MEDP032,924000,1140000,784000,644000,760000,737000,691000,693000
MEDP035,46900,74000,59700,72600,116000,115000,115000,103000
MEDP036,706000,641000,778000,850000,1170000,1150000,1100000,1010000
MEDP038,740000,722000,736000,732000,817000,829000,855000,791000
MEDP039,5280000,5060000,5170000,5060000,4910000,4940000,5010000,4910000
MEDP044,5230000,6230000,6080000,6920000,13700000,12800000,11200000,13600000
MEDP047,941000,901000,974000,1010000,816000,924000,1140000,682000
MEDP055,37200,47800,35200,33200,47200,42800,34100,32800
MEDP056,342000,251000,310000,279000,111000,123000,148000,82300
MEDP059,1320000,1920000,1480000,1640000,2360000,2380000,2440000,2450000
MEDP060,32300,25100,40600,48800,82700,88100,98900,72900
MEDP061,3820000,4020000,3900000,3980000,4860000,5030000,5370000,4970000
MEDP067,154000,127000,121000,87900,132000,124000,108000,123000
MEDP069,34300,29400,28600,22800,32700,32400,32000,34500
MEDP075,376000,480000,386000,396000,409000,411000,415000,414000
MEDP078,40100,36200,43600,47100,36500,31100,20300,33800
MEDP080,53800,42000,53100,52300,166000,147000,110000,111000
MEDP082,273000,322000,277000,280000,322000,327000,338000,328000
MEDP084,824000,765000,777000,729000,794000,791000,784000,797000
MEDP086,11100000,10900000,11000000,11000000,10600000,10600000,10500000,10700000
MEDP087,114000,141000,142000,170000,214000,193000,150000,179000
MEDP089,625000,774000,728000,831000,1890000,1890000,1880000,1830000
MEDP101,1180000,1550000,1320000,1470000,2810000,2750000,2630000,2630000
MEDP102,9,9,9,9,69400,65000,56300,64300
MEDP108,116000,96500,106000,97200,111000,112000,113000,121000
MEDP109,12400,9140,12200,12000,9820,9510,8880,10300
MEDP113,110000,90600,92000,73600,90400,91600,93800,86100
MEDP114,2350000,3020000,2730000,3110000,5380000,5050000,4380000,5050000
MEDP115,11000000,12000000,11300000,11700000,43700000,39600000,31400000,44500000
MEDP116,98900,141000,123000,146000,264000,265000,266000,255000
MEDP123,29200,40400,31400,33600,31200,33100,36700,31900
MEDP125,907000,923000,935000,964000,1120000,1170000,1280000,1180000
MEDP127,14400000,13300000,14000000,13600000,11600000,11800000,12100000,11600000
MEDP128,103000,82000,85100,67300,111000,103000,87700,89700
MEDP129,122000,109000,128000,134000,240000,223000,188000,240000
MEDP130,205000,138000,156000,108000,147000,139000,123000,163000
MEDP134,180000,154000,134000,87600,132000,141000,159000,105000
MEDP140,123000,181000,148000,173000,1980000,1800000,1440000,1890000
MEDP147,75100,99500,116000,158000,137000,118000,81300,104000
MEDP149,49400,72300,63700,77900,410000,362000,266000,317000
MEDP151,624000,503000,677000,730000,603000,543000,425000,515000
MEDP152,1800000,6050000,6920000,12000000,9250000,12300000,18400000,4600000
MEDP154,243000,236000,237000,231000,324000,322000,317000,295000
MEDP159,323000,408000,395000,467000,890000,898000,913000,910000
MEDP160,2200000,3100000,2730000,3270000,9230000,8330000,6530000,8330000
MEDP161,31500,35900,29800,28200,206000,170000,98700,149000
MEDP163,3680000,3230000,3210000,2740000,2880000,3120000,3590000,2150000
MEDP165,2100000,2420000,2360000,2630000,4320000,4460000,4750000,3940000
MEDP170,24100000,33600000,28400000,32600000,67500000,64700000,59100000,65200000
MEDP174,133000,179000,144000,156000,359000,336000,288000,342000
MEDP176,25000,18500,25900,26900,44700,54000,72500,50300
MEDP178,3340000,4330000,3790000,4230000,12800000,11900000,9930000,12200000
MEDP179,4180000,4110000,4380000,4570000,15900000,14800000,12600000,14900000
MEDP180,457000,642000,427000,396000,560000,818000,1330000,498000
MEDP185,362000,298000,331000,300000,622000,648000,700000,486000
MEDP188,153000,130000,149000,144000,185000,180000,169000,197000
MEDP205,258000,170000,241000,224000,345000,326000,287000,295000
MEDP218,65300,52800,65300,65200,55500,56500,58500,51300
MEDP219,45600,70500,57500,69400,63500,67100,74100,60200
MEDP222,143000,141000,143000,143000,133000,132000,130000,131000
MEDP223,1880000,1370000,1670000,1450000,1360000,1280000,1130000,1530000
MEDP225,2370000,1820000,2070000,1780000,2150000,2250000,2460000,1900000
MEDP226,2530000,2170000,2360000,2180000,2510000,2560000,2660000,2180000
MEDP229,17000,20100,17700,18400,69500,74100,83200,64900
MEDP230,31100,27300,32500,33900,76700,73500,67100,87500
MEDP232,37200,19700,28000,18900,21700,23300,26600,24300
MEDP234,101000,111000,97400,93600,51300,53700,58500,38600
MEDP239,111000,106000,99800,89200,73500,78800,89200,92300
MEDP240,1040000,1140000,1190000,1340000,2010000,1870000,1590000,1700000
MEDP242,16800000,21100000,19200000,21700000,45500000,45700000,46000000,48900000
MEDP244,911000,1140000,977000,1040000,580000,535000,447000,541000
MEDP246,91100,128000,123000,156000,246000,242000,236000,251000
MEDP249,47400,36500,48600,49900,46600,48600,52500,52300
MEDP250,634000,834000,730000,826000,1400000,1460000,1560000,1370000
MEDP251,256000,315000,306000,355000,753000,726000,672000,746000
MEDP275,20800,35100,26500,32200,86400,80800,69500,87700
MEDP276,82900,82800,82200,81500,120000,121000,123000,136000
MEDP284,51000,59700,53700,56300,53500,52800,51500,54300
MEDP285,11300,23400,10700,10100,14300,14900,16100,10700
MEDP296,384000,359000,379000,374000,632000,565000,430000,572000
MEDP298,6350000,9190000,7700000,9050000,14700000,14000000,12500000,13800000
MEDP299,652000,748000,662000,673000,697000,674000,626000,725000
MEDP300,264000,188000,196000,128000,525000,508000,475000,471000
MEDP305,210000,132000,193000,175000,109000,107000,102000,112000
MEDP306,4200000,4870000,4580000,4950000,5850000,6000000,6300000,6150000
MEDP310,518000,645000,556000,593000,956000,978000,1020000,936000
MEDP315,25600,36000,32000,38400,45400,43700,40300,40300
MEDP316,3210000,3680000,3560000,3910000,7140000,6920000,6480000,6990000
MEDP319,30400,22500,28600,26700,47200,44600,39200,46400
MEDP320,3850000,4350000,4260000,4660000,5570000,5700000,5970000,5800000
